transaction_id,sku_id,sku_price,transaction_datetime
1,ID3,40.5,1/1/2022
2,ID2,30.4,2/1/2022
3,ID3,40.5,3/1/2022
4,ID1,20.3,4/1/2022
5,ID3,40.5,5/1/2022
6,ID3,40.5,6/1/2022
7,ID2,30.4,7/1/2022
8,ID3,40.5,8/1/2022
9,ID1,20.3,9/1/2022
10,ID2,30.4,10/1/2022
11,ID2,30.4,11/1/2022
12,ID3,40.5,12/1/2022
13,ID3,40.5,13/1/2022
14,ID3,40.5,14/1/2022
15,ID3,40.5,15/1/2022
16,ID3,40.5,16/1/2022
17,ID3,40.5,17/1/2022
18,ID3,40.5,18/1/2022
19,ID1,20.3,19/1/2022
20,ID3,40.5,20/1/2022
21,ID2,30.4,21/1/2022
22,ID2,30.4,22/1/2022
23,ID1,20.3,23/1/2022
24,ID2,30.4,24/1/2022
25,ID2,30.4,25/1/2022
26,ID3,40.5,26/1/2022
27,ID2,30.4,27/1/2022
28,ID1,20.3,28/1/2022
29,ID3,40.5,29/1/2022
